밀원수종명,주소,경도,위도,화밀량
아까시나무,경상북도 칠곡군 평장4길 28-13,128.4075405,35.98615603,119.304
아까시나무,충청북도 충주시 번던1길 55-3,127.9651891,36.97042854,51.118
아까시나무,충청북도 충주시 상설운3길 52,127.9844433,36.92504978,32.181
아까시나무,경상북도 칠곡군 남원로5길 47-1,128.588096,36.01774305,23.518
아까시나무,충청북도 충주시 막은대미재길 21,127.9411209,36.99321075,75.024
아까시나무,충청북도 충주시 송강길 63-2,127.9566887,37.08653088,127.486
아까시나무,경상북도 칠곡군 금암6길 28,128.551574,35.98366514,604.925
아까시나무,경상북도 칠곡군 관호6길 25,128.3857649,36.00793336,167.17
아까시나무,충청북도 충주시 쇠실로 1054,127.8190099,36.9784593,417.388
아까시나무,충청북도 충주시 방아길 48-19,127.940504,36.94878238,342.725
아까시나무,충청북도 충주시 남산2길 4-10,127.9519878,36.962422,27.865
아까시나무,충청북도 충주시 갈치1길 9-1,127.7456315,37.11833971,75.507
아까시나무,충청남도 공주시 성산2길 13,127.1361765,36.45549605,70.563
아까시나무,경상북도 칠곡군 금암4길 10,128.5544088,35.98311386,634.238
아까시나무,충청북도 충주시 연원3길 30-1,127.9317164,36.98370617,60.204
아까시나무,경상북도 칠곡군 북삼로11길 45-8,128.3365758,36.07123855,0.011
아까시나무,경상북도 칠곡군 회동2길 24,128.4029242,35.98992104,59.948
아까시나무,충청북도 충주시 증촌길 50,127.9619433,37.0994861,45.874
아까시나무,충청북도 충주시 대학로 17,127.8708807,36.9643419,15.645
아까시나무,경상북도 칠곡군 평복1길 38,128.3669969,35.98775288,375.456
아까시나무,충청북도 충주시 원호암2길 1,127.9383385,36.95458691,22.707
아까시나무,경상북도 칠곡군 신동로 211-79,128.4939342,35.95746758,310.202
아까시나무,충청북도 충주시 번던1길 6,127.9592781,36.97097067,55.802
아까시나무,충청북도 충주시 마치2길 7,127.8074228,36.97293147,29.3
아까시나무,충청북도 충주시 사직로 279,127.9420281,36.96894976,47.782
아까시나무,경상북도 칠곡군 오산2길 50-6,128.4796779,35.90757379,337.211
아까시나무,경상북도 칠곡군 득명2길 86-56,128.6056649,36.01353316,73.162
아까시나무,충청남도 공주시 중앙2길 63,126.9521197,36.54984646,63.87
아까시나무,충청북도 충주시 남산1길 8,127.9478063,36.96402243,631.32
아까시나무,경상북도 칠곡군 남중리4길 10,128.4093995,36.0738695,594.204
아까시나무,경상북도 칠곡군 기성11길 58,128.6031251,36.00292082,75.178
아까시나무,충청북도 충주시 시장길 41,127.8013912,36.97473466,1024.114
아까시나무,경상북도 칠곡군 연호6길 41,128.5061731,35.9298748,142.173
아까시나무,충청북도 충주시 대학촌1길 27,127.8722893,36.96472641,59.989
아까시나무,충청북도 충주시 창현로 1395-1,127.8833217,36.95649789,355.032
아까시나무,충청북도 충주시 웃말길 24-12,127.8207995,36.97403854,28.907
아까시나무,경상북도 칠곡군 외기1길 12,128.3970556,35.98413153,244.645
아까시나무,경상북도 칠곡군 중납길 46,128.500561,35.91625066,142.173
아까시나무,경상북도 칠곡군 연호1길 5-1,128.5056028,35.93387249,88.509
아까시나무,충청북도 충주시 사직산5길 2,127.9244419,36.96762961,55.802
아까시나무,충청북도 충주시 조동2길 30,127.9629168,37.02707851,16.161
아까시나무,경상북도 칠곡군 안산1길 50,128.3373682,36.06582022,106.069
아까시나무,경상북도 칠곡군 지천로 178-8,128.4976811,35.9541552,1795.449
아까시나무,충청북도 충주시 궁평길 22,127.7631411,37.10763799,76.611
아까시나무,충청북도 충주시 화곡1길 31,127.8027254,36.97818897,19.777
아까시나무,경상북도 칠곡군 회동2길 14-33,128.4033769,35.98965108,561.482
아까시나무,충청북도 충주시 광월길 12-28,127.668345,36.99502101,374.164
아까시나무,충청북도 충주시 온기미길 23-62,127.9323835,37.08062269,33.084
아까시나무,경상북도 칠곡군 봉암7길 72,128.5494649,35.96478968,214.975
아까시나무,경상북도 칠곡군 중앙로 176,128.3995962,35.99062485,119.304
아까시나무,충청북도 충주시 산정관산길 16,127.8774619,36.94313607,134.577
아까시나무,충청북도 충주시 아리길 23-26,127.7418519,37.11548603,75.507
아까시나무,경상북도 칠곡군 망정2길 38-1,128.446775,36.04407154,184.982
아까시나무,경상북도 칠곡군 노석4길 22,128.388302,35.9610733,16.046
